CERCID	Order	BGD	LGD	POD
CERC492	2	Morality	Ritual	Substance Use/Abuse
CERC492	3	Virtue	NA	Morality
CERC492	4	NA	NA	Miscellaneous
CERC492	5	NA	NA	NA
CERC493	1	Morality	Ritual	Morality
CERC493	2	Virtue	Ritual	Substance Use/Abuse
CERC493	3	Virtue	Ritual	Etiquette
CERC493	4	NA	Virtue	Morality
CERC493	5	NA	NA	NA
CERC494	1	Morality	Ecology	Morality
CERC494	2	Morality	Ecology	NA
CERC494	3	NA	NA	NA
CERC494	4	NA	NA	NA
CERC494	5	NA	NA	NA
CERC495	1	Morality	Ecology	Morality
CERC495	2	Morality	Ritual	Morality
CERC495	3	Morality	Religion	Morality
CERC495	4	NA	NA	People
CERC495	5	NA	NA	NA
CERC496	1	Virtue	Ecology	NA
CERC496	2	NA	Ritual	NA
CERC496	3	NA	NA	NA
CERC496	4	NA	NA	NA
CERC496	5	NA	NA	NA
CERC497	1	Morality	Religion	Miscellaneous
CERC497	2	NA	Etiquette	Morality
CERC497	3	NA	Ecology	Miscellaneous
CERC497	4	NA	NA	People
CERC497	5	NA	NA	Miscellaneous
CERC498	1	NA	NA	NA
CERC498	2	NA	NA	NA
CERC498	3	NA	NA	NA
CERC498	4	NA	NA	NA
CERC498	5	NA	NA	NA
CERC499	1	Substance Use/Abuse	Ecology	Substance Use/Abuse
CERC499	2	Ecology	Ecology	Morality
CERC499	3	Morality	Ecology	Miscellaneous
CERC499	4	NA	NA	Virtue
CERC499	5	NA	NA	NA
CERC500	1	Virtue	Ecology	Miscellaneous
CERC500	2	Substance Use/Abuse	Ecology	Morality
CERC500	3	Morality	NA	Miscellaneous
CERC500	4	NA	NA	Miscellaneous
CERC500	5	NA	NA	NA
CERC501	1	Morality	Ecology	Morality
CERC501	2	Morality	Ecology	Substance Use/Abuse
CERC501	3	NA	Ecology	Morality
CERC501	4	NA	NA	NA
CERC501	5	NA	NA	NA
CERC502	1	Morality	Ecology	Morality
CERC502	2	Morality	Ritual	Morality
CERC502	3	Morality	NA	Substance Use/Abuse
CERC502	4	NA	NA	Substance Use/Abuse
CERC502	5	NA	NA	NA
CERC503	1	Virtue	Ecology	Substance Use/Abuse
CERC503	2	Morality	Ritual	Etiquette
CERC503	3	Virtue	Ritual	Etiquette
CERC503	4	Virtue	NA	Morality
CERC503	5	Morality	NA	Morality
CERC504	1	Substance Use/Abuse	Substance Use/Abuse	Substance Use/Abuse
CERC504	2	Substance Use/Abuse	Substance Use/Abuse	Substance Use/Abuse
CERC504	3	Etiquette	Etiquette	Etiquette
CERC504	4	Ecology	Morality	Morality
CERC504	5	NA	NA	Morality
CERC505	1	Virtue	Ecology	Morality
CERC505	2	Virtue	NA	Morality
CERC505	3	NA	NA	Virtue
CERC505	4	NA	NA	Virtue
CERC505	5	NA	NA	NA
CERC506	1	NA	NA	NA
CERC506	2	NA	NA	NA
CERC506	3	NA	NA	NA
CERC506	4	NA	NA	NA
CERC506	5	NA	NA	NA
CERC508	1	Virtue	Ecology	Substance Use/Abuse
CERC508	2	Virtue	NA	Morality
CERC508	3	NA	NA	Morality
CERC508	4	NA	NA	Morality
CERC508	5	NA	NA	Morality
CERC509	1	Morality	Substance Use/Abuse	Virtue
CERC509	2	Morality	Morality	Substance Use/Abuse
CERC509	3	NA	Morality	Substance Use/Abuse
CERC509	4	NA	Religion	Morality
CERC509	5	NA	NA	Morality
CERC510	1	Virtue	Ecology	Morality
CERC510	2	Morality	Ecology	Substance Use/Abuse
CERC510	3	Morality	NA	Substance Use/Abuse
CERC510	4	Morality	NA	Morality
CERC510	5	Ecology	NA	NA
CERC511	1	Virtue	Miscellaneous	Morality
CERC511	2	Virtue	Miscellaneous	Morality
CERC511	3	NA	Virtue	Morality
CERC511	4	NA	NA	NA
CERC511	5	NA	NA	NA
CERC512	1	Substance Use/Abuse	Ecology	Morality
CERC512	2	Substance Use/Abuse	Ecology	Morality
CERC512	3	Virtue	Ecology	Morality
CERC512	4	Morality	Ritual	NA
CERC512	5	Virtue	NA	NA
CERC513	1	Substance Use/Abuse	Ecology	Virtue
CERC513	2	Morality	Substance Use/Abuse	Morality
CERC513	3	Morality	Morality	Morality
CERC513	4	Morality	Ritual	Substance Use/Abuse
CERC513	5	Virtue	NA	Morality
CERC514	1	Morality	Ecology	Virtue
CERC514	2	Morality	Ecology	Morality
CERC514	3	Virtue	NA	Substance Use/Abuse
CERC514	4	NA	NA	NA
CERC514	5	NA	NA	NA
CERC515	1	Morality	Food	Virtue
CERC515	2	Morality	Ritual	Morality
CERC515	3	NA	Morality	Virtue
CERC515	4	NA	NA	Virtue
CERC515	5	NA	NA	Morality
CERC516	1	Morality	Virtue	Morality
CERC516	2	Morality	NA	Virtue
CERC516	3	Morality	NA	Morality
CERC516	4	NA	NA	Morality
CERC516	5	NA	NA	Substance Use/Abuse
